Unnamed: 0,Top-Left,Bottom-Right,Id,Bottom,Top,Left,Right,Bottom_Box,Right_Box,Top_Box,Left_Box
29,"[1600, 526]","[1839, 578]",29,"[1719.5, 578]","[1719.5, 526]","[1600, 552.0]","[1839, 552.0]","[-1, 0]","[30, 30]","[-1, 0]","[28, 28]"
30,"[1868, 523]","[2059, 605]",30,"[1963.5, 605]","[1963.5, 523]","[1868, 564.0]","[2059, 564.0]","[-1, 0]","[31, 31]","[-1, 0]","[29, 29]"
31,"[2079, 520]","[2199, 584]",31,"[2139.0, 584]","[2139.0, 520]","[2079, 552.0]","[2199, 552.0]","[-1, 0]","[-1, 0]","[23, 23]","[30, 30]"
32,"[273, 602]","[392, 667]",32,"[332.5, 667]","[332.5, 602]","[273, 634.5]","[392, 634.5]","[-1, 0]","[33, 33]","[-1, 0]","[-1, 0]"
33,"[421, 598]","[537, 677]",33,"[479.0, 677]","[479.0, 598]","[421, 637.5]","[537, 637.5]","[-1, 0]","[34, 34]","[24, 24]","[32, 32]"
34,"[566, 605]","[877, 680]",34,"[721.5, 680]","[721.5, 605]","[566, 642.5]","[877, 642.5]","[-1, 0]","[35, 35]","[-1, 0]","[33, 33]"
35,"[902, 598]","[1225, 673]",35,"[1063.5, 673]","[1063.5, 598]","[902, 635.5]","[1225, 635.5]","[-1, 0]","[-1, 0]","[26, 26]","[34, 34]"
36,"[276, 704]","[520, 752]",36,"[398.0, 752]","[398.0, 704]","[276, 728.0]","[520, 728.0]","[-1, 0]","[37, 37]","[-1, 0]","[-1, 0]"
37,"[546, 701]","[771, 776]",37,"[658.5, 776]","[658.5, 701]","[546, 738.5]","[771, 738.5]","[-1, 0]","[38, 38]","[-1, 0]","[36, 36]"
38,"[798, 701]","[904, 755]",38,"[851.0, 755]","[851.0, 701]","[798, 728.0]","[904, 728.0]","[-1, 0]","[-1, 0]","[-1, 0]","[37, 37]"
39,"[413, 800]","[752, 875]",39,"[582.5, 875]","[582.5, 800]","[413, 837.5]","[752, 837.5]","[47, 47]","[40, 40]","[-1, 0]","[-1, 0]"
40,"[771, 803]","[904, 854]",40,"[837.5, 854]","[837.5, 803]","[771, 828.5]","[904, 828.5]","[-1, 0]","[41, 41]","[-1, 0]","[39, 39]"
41,"[928, 803]","[1189, 878]",41,"[1058.5, 878]","[1058.5, 803]","[928, 840.5]","[1189, 840.5]","[-1, 0]","[42, 42]","[-1, 0]","[40, 40]"
42,"[1211, 807]","[1322, 875]",42,"[1266.5, 875]","[1266.5, 807]","[1211, 841.0]","[1322, 841.0]","[50, 50]","[43, 43]","[-1, 0]","[41, 41]"
43,"[1341, 803]","[1636, 851]",43,"[1488.5, 851]","[1488.5, 803]","[1341, 827.0]","[1636, 827.0]","[-1, 0]","[44, 44]","[-1, 0]","[42, 42]"
44,"[1660, 803]","[1837, 854]",44,"[1748.5, 854]","[1748.5, 803]","[1660, 828.5]","[1837, 828.5]","[-1, 0]","[45, 45]","[-1, 0]","[43, 43]"
45,"[1861, 800]","[2199, 875]",45,"[2030.0, 875]","[2030.0, 800]","[1861, 837.5]","[2199, 837.5]","[-1, 0]","[-1, 0]","[-1, 0]","[44, 44]"
46,"[276, 878]","[423, 930]",46,"[349.5, 930]","[349.5, 878]","[276, 904.0]","[423, 904.0]","[-1, 0]","[47, 47]","[-1, 0]","[-1, 0]"
47,"[447, 872]","[643, 933]",47,"[545.0, 933]","[545.0, 872]","[447, 902.5]","[643, 902.5]","[-1, 0]","[48, 48]","[39, 39]","[46, 46]"
48,"[670, 878]","[817, 930]",48,"[743.5, 930]","[743.5, 878]","[670, 904.0]","[817, 904.0]","[-1, 0]","[49, 49]","[-1, 0]","[47, 47]"
49,"[841, 872]","[1143, 933]",49,"[992.0, 933]","[992.0, 872]","[841, 902.5]","[1143, 902.5]","[-1, 0]","[50, 50]","[-1, 0]","[48, 48]"
50,"[1170, 868]","[1433, 954]",50,"[1301.5, 954]","[1301.5, 868]","[1170, 911.0]","[1433, 911.0]","[-1, 0]","[51, 51]","[42, 42]","[49, 49]"
51,"[1450, 878]","[1767, 950]",51,"[1608.5, 950]","[1608.5, 878]","[1450, 914.0]","[1767, 914.0]","[-1, 0]","[52, 52]","[-1, 0]","[50, 50]"
52,"[1796, 878]","[2093, 930]",52,"[1944.5, 930]","[1944.5, 878]","[1796, 904.0]","[2093, 904.0]","[61, 61]","[53, 53]","[-1, 0]","[51, 51]"
53,"[2117, 875]","[2209, 957]",53,"[2163.0, 957]","[2163.0, 875]","[2117, 916.0]","[2209, 916.0]","[62, 62]","[-1, 0]","[-1, 0]","[52, 52]"
54,"[271, 957]","[334, 1012]",54,"[302.5, 1012]","[302.5, 957]","[271, 984.5]","[334, 984.5]","[-1, 0]","[55, 55]","[-1, 0]","[-1, 0]"
55,"[360, 957]","[544, 1008]",55,"[452.0, 1008]","[452.0, 957]","[360, 982.5]","[544, 982.5]","[63, 63]","[56, 56]","[-1, 0]","[54, 54]"
56,"[573, 950]","[798, 1036]",56,"[685.5, 1036]","[685.5, 950]","[573, 993.0]","[798, 993.0]","[64, 64]","[57, 57]","[-1, 0]","[55, 55]"
57,"[822, 954]","[1010, 1029]",57,"[916.0, 1029]","[916.0, 954]","[822, 991.5]","[1010, 991.5]","[-1, 0]","[58, 58]","[-1, 0]","[56, 56]"
58,"[1037, 954]","[1262, 1039]",58,"[1149.5, 1039]","[1149.5, 954]","[1037, 996.5]","[1262, 996.5]","[-1, 0]","[59, 59]","[-1, 0]","[57, 57]"
59,"[1283, 947]","[1523, 1032]",59,"[1403.0, 1032]","[1403.0, 947]","[1283, 989.5]","[1523, 989.5]","[67, 67]","[60, 60]","[-1, 0]","[58, 58]"
60,"[1552, 960]","[1793, 1029]",60,"[1672.5, 1029]","[1672.5, 960]","[1552, 994.5]","[1793, 994.5]","[-1, 0]","[61, 61]","[-1, 0]","[59, 59]"
61,"[1818, 957]","[2069, 1032]",61,"[1943.5, 1032]","[1943.5, 957]","[1818, 994.5]","[2069, 994.5]","[-1, 0]","[62, 62]","[52, 52]","[60, 60]"
62,"[2096, 950]","[2204, 1015]",62,"[2150.0, 1015]","[2150.0, 950]","[2096, 982.5]","[2204, 982.5]","[-1, 0]","[-1, 0]","[53, 53]","[61, 61]"
63,"[276, 1032]","[566, 1107]",63,"[421.0, 1107]","[421.0, 1032]","[276, 1069.5]","[566, 1069.5]","[-1, 0]","[64, 64]","[55, 55]","[-1, 0]"
64,"[590, 1008]","[720, 1087]",64,"[655.0, 1087]","[655.0, 1008]","[590, 1047.5]","[720, 1047.5]","[-1, 0]","[65, 65]","[56, 56]","[63, 63]"
65,"[749, 1032]","[974, 1107]",65,"[861.5, 1107]","[861.5, 1032]","[749, 1069.5]","[974, 1069.5]","[-1, 0]","[66, 66]","[-1, 0]","[64, 64]"
66,"[998, 1032]","[1175, 1107]",66,"[1086.5, 1107]","[1086.5, 1032]","[998, 1069.5]","[1175, 1069.5]","[71, 71]","[67, 67]","[-1, 0]","[65, 65]"
67,"[1206, 1025]","[1535, 1087]",67,"[1370.5, 1087]","[1370.5, 1025]","[1206, 1056.0]","[1535, 1056.0]","[-1, 0]","[-1, 0]","[59, 59]","[66, 66]"
68,"[411, 1131]","[580, 1210]",68,"[495.5, 1210]","[495.5, 1131]","[411, 1170.5]","[580, 1170.5]","[-1, 0]","[69, 69]","[-1, 0]","[-1, 0]"
69,"[607, 1135]","[788, 1200]",69,"[697.5, 1200]","[697.5, 1135]","[607, 1167.5]","[788, 1167.5]","[-1, 0]","[70, 70]","[-1, 0]","[68, 68]"
70,"[815, 1131]","[1005, 1207]",70,"[910.0, 1207]","[910.0, 1131]","[815, 1169.0]","[1005, 1169.0]","[78, 78]","[71, 71]","[-1, 0]","[69, 69]"
71,"[1032, 1131]","[1165, 1183]",71,"[1098.5, 1183]","[1098.5, 1131]","[1032, 1157.0]","[1165, 1157.0]","[-1, 0]","[72, 72]","[66, 66]","[70, 70]"
72,"[1182, 1125]","[1402, 1210]",72,"[1292.0, 1210]","[1292.0, 1125]","[1182, 1167.5]","[1402, 1167.5]","[-1, 0]","[73, 73]","[-1, 0]","[71, 71]"
73,"[1419, 1125]","[1571, 1203]",73,"[1495.0, 1203]","[1495.0, 1125]","[1419, 1164.0]","[1571, 1164.0]","[-1, 0]","[74, 74]","[-1, 0]","[72, 72]"
74,"[1593, 1135]","[1871, 1196]",74,"[1732.0, 1196]","[1732.0, 1135]","[1593, 1165.5]","[1871, 1165.5]","[-1, 0]","[75, 75]","[-1, 0]","[73, 73]"
75,"[1895, 1125]","[2202, 1200]",75,"[2048.5, 1200]","[2048.5, 1125]","[1895, 1162.5]","[2202, 1162.5]","[-1, 0]","[-1, 0]","[-1, 0]","[74, 74]"
76,"[276, 1200]","[524, 1261]",76,"[400.0, 1261]","[400.0, 1200]","[276, 1230.5]","[524, 1230.5]","[83, 83]","[77, 77]","[-1, 0]","[-1, 0]"
77,"[568, 1203]","[718, 1265]",77,"[643.0, 1265]","[643.0, 1203]","[568, 1234.0]","[718, 1234.0]","[84, 84]","[78, 78]","[-1, 0]","[76, 76]"
78,"[757, 1200]","[1018, 1289]",78,"[887.5, 1289]","[887.5, 1200]","[757, 1244.5]","[1018, 1244.5]","[85, 85]","[79, 79]","[70, 70]","[77, 77]"
79,"[1063, 1207]","[1240, 1285]",79,"[1151.5, 1285]","[1151.5, 1207]","[1063, 1246.0]","[1240, 1246.0]","[-1, 0]","[80, 80]","[-1, 0]","[78, 78]"
80,"[1276, 1179]","[1578, 1302]",80,"[1427.0, 1302]","[1427.0, 1179]","[1276, 1240.5]","[1578, 1240.5]","[87, 87]","[81, 81]","[-1, 0]","[79, 79]"
81,"[1600, 1196]","[2023, 1295]",81,"[1811.5, 1295]","[1811.5, 1196]","[1600, 1245.5]","[2023, 1245.5]","[89, 89]","[82, 82]","[-1, 0]","[80, 80]"
82,"[2054, 1203]","[2207, 1292]",82,"[2130.5, 1292]","[2130.5, 1203]","[2054, 1247.5]","[2207, 1247.5]","[91, 91]","[-1, 0]","[-1, 0]","[81, 81]"
83,"[276, 1282]","[498, 1357]",83,"[387.0, 1357]","[387.0, 1282]","[276, 1319.5]","[498, 1319.5]","[-1, 0]","[84, 84]","[76, 76]","[-1, 0]"
84,"[544, 1285]","[744, 1350]",84,"[644.0, 1350]","[644.0, 1285]","[544, 1317.5]","[744, 1317.5]","[-1, 0]","[85, 85]","[77, 77]","[83, 83]"
85,"[793, 1278]","[1047, 1340]",85,"[920.0, 1340]","[920.0, 1278]","[793, 1309.0]","[1047, 1309.0]","[-1, 0]","[86, 86]","[78, 78]","[84, 84]"
86,"[1090, 1278]","[1327, 1364]",86,"[1208.5, 1364]","[1208.5, 1278]","[1090, 1321.0]","[1327, 1321.0]","[-1, 0]","[87, 87]","[-1, 0]","[85, 85]"
87,"[1370, 1282]","[1477, 1336]",87,"[1423.5, 1336]","[1423.5, 1282]","[1370, 1309.0]","[1477, 1309.0]","[-1, 0]","[88, 88]","[80, 80]","[86, 86]"
88,"[1520, 1278]","[1641, 1360]",88,"[1580.5, 1360]","[1580.5, 1278]","[1520, 1319.0]","[1641, 1319.0]","[-1, 0]","[89, 89]","[-1, 0]","[87, 87]"
89,"[1677, 1285]","[1897, 1360]",89,"[1787.0, 1360]","[1787.0, 1285]","[1677, 1322.5]","[1897, 1322.5]","[-1, 0]","[90, 90]","[81, 81]","[88, 88]"
90,"[1943, 1275]","[2033, 1364]",90,"[1988.0, 1364]","[1988.0, 1275]","[1943, 1319.5]","[2033, 1319.5]","[-1, 0]","[91, 91]","[-1, 0]","[89, 89]"
91,"[2064, 1278]","[2202, 1367]",91,"[2133.0, 1367]","[2133.0, 1278]","[2064, 1322.5]","[2202, 1322.5]","[100, 100]","[-1, 0]","[82, 82]","[90, 90]"
92,"[273, 1360]","[392, 1439]",92,"[332.5, 1439]","[332.5, 1360]","[273, 1399.5]","[392, 1399.5]","[-1, 0]","[93, 93]","[-1, 0]","[-1, 0]"
93,"[430, 1364]","[670, 1439]",93,"[550.0, 1439]","[550.0, 1364]","[430, 1401.5]","[670, 1401.5]","[-1, 0]","[94, 94]","[-1, 0]","[92, 92]"
94,"[703, 1357]","[916, 1442]",94,"[809.5, 1442]","[809.5, 1357]","[703, 1399.5]","[916, 1399.5]","[102, 102]","[95, 95]","[-1, 0]","[93, 93]"
95,"[950, 1364]","[1119, 1439]",95,"[1034.5, 1439]","[1034.5, 1364]","[950, 1401.5]","[1119, 1401.5]","[103, 103]","[96, 96]","[-1, 0]","[94, 94]"
96,"[1155, 1357]","[1366, 1442]",96,"[1260.5, 1442]","[1260.5, 1357]","[1155, 1399.5]","[1366, 1399.5]","[-1, 0]","[97, 97]","[-1, 0]","[95, 95]"
97,"[1402, 1357]","[1576, 1432]",97,"[1489.0, 1432]","[1489.0, 1357]","[1402, 1394.5]","[1576, 1394.5]","[-1, 0]","[98, 98]","[-1, 0]","[96, 96]"
98,"[1607, 1354]","[1805, 1439]",98,"[1706.0, 1439]","[1706.0, 1354]","[1607, 1396.5]","[1805, 1396.5]","[-1, 0]","[99, 99]","[-1, 0]","[97, 97]"
99,"[1837, 1357]","[1951, 1449]",99,"[1894.0, 1449]","[1894.0, 1357]","[1837, 1403.0]","[1951, 1403.0]","[-1, 0]","[100, 100]","[-1, 0]","[98, 98]"
100,"[1977, 1350]","[2197, 1415]",100,"[2087.0, 1415]","[2087.0, 1350]","[1977, 1382.5]","[2197, 1382.5]","[-1, 0]","[-1, 0]","[91, 91]","[99, 99]"
101,"[276, 1442]","[701, 1514]",101,"[488.5, 1514]","[488.5, 1442]","[276, 1478.0]","[701, 1478.0]","[104, 104]","[102, 102]","[-1, 0]","[-1, 0]"
102,"[728, 1439]","[873, 1490]",102,"[800.5, 1490]","[800.5, 1439]","[728, 1464.5]","[873, 1464.5]","[-1, 0]","[103, 103]","[94, 94]","[101, 101]"
103,"[902, 1436]","[1143, 1487]",103,"[1022.5, 1487]","[1022.5, 1436]","[902, 1461.5]","[1143, 1461.5]","[-1, 0]","[-1, 0]","[95, 95]","[102, 102]"
104,"[411, 1542]","[510, 1593]",104,"[460.5, 1593]","[460.5, 1542]","[411, 1567.5]","[510, 1567.5]","[-1, 0]","[105, 105]","[101, 101]","[-1, 0]"
105,"[532, 1538]","[607, 1613]",105,"[569.5, 1613]","[569.5, 1538]","[532, 1575.5]","[607, 1575.5]","[119, 119]","[106, 106]","[-1, 0]","[104, 104]"
106,"[621, 1545]","[749, 1620]",106,"[685.0, 1620]","[685.0, 1545]","[621, 1582.5]","[749, 1582.5]","[120, 120]","[107, 107]","[-1, 0]","[105, 105]"
107,"[761, 1542]","[931, 1617]",107,"[846.0, 1617]","[846.0, 1542]","[761, 1579.5]","[931, 1579.5]","[121, 121]","[108, 108]","[-1, 0]","[106, 106]"
108,"[952, 1542]","[1100, 1617]",108,"[1026.0, 1617]","[1026.0, 1542]","[952, 1579.5]","[1100, 1579.5]","[-1, 0]","[109, 109]","[-1, 0]","[107, 107]"
109,"[1119, 1535]","[1211, 1620]",109,"[1165.0, 1620]","[1165.0, 1535]","[1119, 1577.5]","[1211, 1577.5]","[-1, 0]","[110, 110]","[-1, 0]","[108, 108]"
110,"[1223, 1524]","[1477, 1610]",110,"[1350.0, 1610]","[1350.0, 1524]","[1223, 1567.0]","[1477, 1567.0]","[123, 123]","[-1, 0]","[-1, 0]","[109, 109]"
111,"[271, 1685]","[367, 1788]",111,"[319.0, 1788]","[319.0, 1685]","[271, 1736.5]","[367, 1736.5]","[136, 136]","[112, 112]","[-1, 0]","[-1, 0]"
112,"[379, 1678]","[563, 1753]",112,"[471.0, 1753]","[471.0, 1678]","[379, 1715.5]","[563, 1715.5]","[-1, 0]","[113, 113]","[-1, 0]","[111, 111]"
113,"[582, 1692]","[701, 1771]",113,"[641.5, 1771]","[641.5, 1692]","[582, 1731.5]","[701, 1731.5]","[-1, 0]","[114, 114]","[-1, 0]","[112, 112]"
114,"[713, 1692]","[848, 1753]",114,"[780.5, 1753]","[780.5, 1692]","[713, 1722.5]","[848, 1722.5]","[130, 130]","[115, 115]","[-1, 0]","[113, 113]"
115,"[868, 1692]","[1107, 1753]",115,"[987.5, 1753]","[987.5, 1692]","[868, 1722.5]","[1107, 1722.5]","[131, 131]","[116, 116]","[-1, 0]","[114, 114]"
116,"[1129, 1688]","[1281, 1750]",116,"[1205.0, 1750]","[1205.0, 1688]","[1129, 1719.0]","[1281, 1719.0]","[-1, 0]","[117, 117]","[-1, 0]","[115, 115]"
117,"[1300, 1692]","[1472, 1757]",117,"[1386.0, 1757]","[1386.0, 1692]","[1300, 1724.5]","[1472, 1724.5]","[-1, 0]","[-1, 0]","[-1, 0]","[116, 116]"
118,"[273, 1613]","[508, 1699]",118,"[390.5, 1699]","[390.5, 1613]","[273, 1656.0]","[508, 1656.0]","[-1, 0]","[119, 119]","[-1, 0]","[-1, 0]"
119,"[527, 1603]","[653, 1668]",119,"[590.0, 1668]","[590.0, 1603]","[527, 1635.5]","[653, 1635.5]","[-1, 0]","[120, 120]","[105, 105]","[118, 118]"
120,"[672, 1610]","[776, 1675]",120,"[724.0, 1675]","[724.0, 1610]","[672, 1642.5]","[776, 1642.5]","[-1, 0]","[121, 121]","[106, 106]","[119, 119]"
121,"[795, 1606]","[989, 1671]",121,"[892.0, 1671]","[892.0, 1606]","[795, 1638.5]","[989, 1638.5]","[-1, 0]","[122, 122]","[107, 107]","[120, 120]"
122,"[1005, 1600]","[1172, 1692]",122,"[1088.5, 1692]","[1088.5, 1600]","[1005, 1646.0]","[1172, 1646.0]","[-1, 0]","[123, 123]","[-1, 0]","[121, 121]"
123,"[1189, 1610]","[1472, 1671]",123,"[1330.5, 1671]","[1330.5, 1610]","[1189, 1640.5]","[1472, 1640.5]","[-1, 0]","[124, 124]","[110, 110]","[122, 122]"
124,"[1513, 1606]","[1685, 1668]",124,"[1599.0, 1668]","[1599.0, 1606]","[1513, 1637.0]","[1685, 1637.0]","[-1, 0]","[125, 125]","[-1, 0]","[123, 123]"
125,"[1709, 1610]","[1876, 1661]",125,"[1792.5, 1661]","[1792.5, 1610]","[1709, 1635.5]","[1876, 1635.5]","[-1, 0]","[-1, 0]","[-1, 0]","[124, 124]"
126,"[1586, 1699]","[1847, 1750]",126,"[1716.5, 1750]","[1716.5, 1699]","[1586, 1724.5]","[1847, 1724.5]","[-1, 0]","[127, 127]","[-1, 0]","[-1, 0]"
127,"[1893, 1695]","[2178, 1767]",127,"[2035.5, 1767]","[2035.5, 1695]","[1893, 1731.0]","[2178, 1731.0]","[135, 135]","[-1, 0]","[-1, 0]","[126, 126]"
128,"[276, 1767]","[447, 1842]",128,"[361.5, 1842]","[361.5, 1767]","[276, 1804.5]","[447, 1804.5]","[136, 136]","[129, 129]","[111, 111]","[-1, 0]"
129,"[466, 1764]","[662, 1849]",129,"[564.0, 1849]","[564.0, 1764]","[466, 1806.5]","[662, 1806.5]","[137, 137]","[130, 130]","[-1, 0]","[128, 128]"
130,"[679, 1764]","[824, 1853]",130,"[751.5, 1853]","[751.5, 1764]","[679, 1808.5]","[824, 1808.5]","[138, 138]","[131, 131]","[114, 114]","[129, 129]"
131,"[851, 1767]","[1088, 1853]",131,"[969.5, 1853]","[969.5, 1767]","[851, 1810.0]","[1088, 1810.0]","[-1, 0]","[132, 132]","[115, 115]","[130, 130]"
132,"[1107, 1764]","[1479, 1849]",132,"[1293.0, 1849]","[1293.0, 1764]","[1107, 1806.5]","[1479, 1806.5]","[-1, 0]","[133, 133]","[-1, 0]","[131, 131]"
133,"[1518, 1767]","[1757, 1829]",133,"[1637.5, 1829]","[1637.5, 1767]","[1518, 1798.0]","[1757, 1798.0]","[143, 143]","[134, 134]","[-1, 0]","[132, 132]"
134,"[1779, 1771]","[1958, 1832]",134,"[1868.5, 1832]","[1868.5, 1771]","[1779, 1801.5]","[1958, 1801.5]","[144, 144]","[135, 135]","[-1, 0]","[133, 133]"
135,"[1977, 1757]","[2183, 1846]",135,"[2080.0, 1846]","[2080.0, 1757]","[1977, 1801.5]","[2183, 1801.5]","[-1, 0]","[-1, 0]","[127, 127]","[134, 134]"
136,"[268, 1818]","[392, 1931]",136,"[330.0, 1931]","[330.0, 1818]","[268, 1874.5]","[392, 1874.5]","[146, 146]","[137, 137]","[128, 128]","[-1, 0]"
137,"[401, 1839]","[655, 1900]",137,"[528.0, 1900]","[528.0, 1839]","[401, 1869.5]","[655, 1869.5]","[147, 147]","[138, 138]","[129, 129]","[136, 136]"
138,"[679, 1825]","[798, 1907]",138,"[738.5, 1907]","[738.5, 1825]","[679, 1866.0]","[798, 1866.0]","[-1, 0]","[139, 139]","[130, 130]","[137, 137]"
139,"[819, 1849]","[993, 1911]",139,"[906.0, 1911]","[906.0, 1849]","[819, 1880.0]","[993, 1880.0]","[-1, 0]","[140, 140]","[-1, 0]","[138, 138]"
140,"[1020, 1849]","[1252, 1924]",140,"[1136.0, 1924]","[1136.0, 1849]","[1020, 1886.5]","[1252, 1886.5]","[149, 149]","[141, 141]","[-1, 0]","[139, 139]"
141,"[1274, 1849]","[1472, 1914]",141,"[1373.0, 1914]","[1373.0, 1849]","[1274, 1881.5]","[1472, 1881.5]","[150, 150]","[-1, 0]","[-1, 0]","[140, 140]"
142,"[1520, 1839]","[1615, 1890]",142,"[1567.5, 1890]","[1567.5, 1839]","[1520, 1864.5]","[1615, 1864.5]","[-1, 0]","[143, 143]","[-1, 0]","[-1, 0]"
143,"[1615, 1846]","[1718, 1887]",143,"[1666.5, 1887]","[1666.5, 1846]","[1615, 1866.5]","[1718, 1866.5]","[151, 151]","[-1, 0]","[133, 133]","[142, 142]"
144,"[1779, 1842]","[1895, 1894]",144,"[1837.0, 1894]","[1837.0, 1842]","[1779, 1868.0]","[1895, 1868.0]","[-1, 0]","[145, 145]","[134, 134]","[-1, 0]"
145,"[1868, 1825]","[2185, 1911]",145,"[2026.5, 1911]","[2026.5, 1825]","[1868, 1868.0]","[2185, 1868.0]","[152, 152]","[-1, 0]","[-1, 0]","[144, 144]"
146,"[273, 1917]","[481, 1979]",146,"[377.0, 1979]","[377.0, 1917]","[273, 1948.0]","[481, 1948.0]","[153, 153]","[147, 147]","[136, 136]","[-1, 0]"
147,"[510, 1924]","[631, 1976]",147,"[570.5, 1976]","[570.5, 1924]","[510, 1950.0]","[631, 1950.0]","[154, 154]","[148, 148]","[137, 137]","[146, 146]"
