Unnamed: 0,Top-Left,Bottom-Right,Id,Bottom,Top,Left,Right,Bottom_Box,Right_Box,Top_Box,Left_Box
43,"[817, 1289]","[1018, 1340]",43,"[917.5, 1340]","[917.5, 1289]","[817, 1314.5]","[1018, 1314.5]","[-1, 0]","[44, 44]","[-1, 0]","[42, 42]"
44,"[1042, 1289]","[1327, 1336]",44,"[1184.5, 1336]","[1184.5, 1289]","[1042, 1312.5]","[1327, 1312.5]","[-1, 0]","[45, 45]","[36, 36]","[43, 43]"
45,"[1344, 1285]","[1453, 1354]",45,"[1398.5, 1354]","[1398.5, 1285]","[1344, 1319.5]","[1453, 1319.5]","[-1, 0]","[46, 46]","[-1, 0]","[44, 44]"
46,"[1474, 1282]","[1764, 1354]",46,"[1619.0, 1354]","[1619.0, 1282]","[1474, 1318.0]","[1764, 1318.0]","[-1, 0]","[47, 47]","[-1, 0]","[45, 45]"
47,"[1784, 1282]","[2050, 1330]",47,"[1917.0, 1330]","[1917.0, 1282]","[1784, 1306.0]","[2050, 1306.0]","[-1, 0]","[-1, 0]","[-1, 0]","[46, 46]"
48,"[363, 1384]","[437, 1439]",48,"[400.0, 1439]","[400.0, 1384]","[363, 1411.5]","[437, 1411.5]","[-1, 0]","[49, 49]","[-1, 0]","[-1, 0]"
49,"[454, 1377]","[537, 1439]",49,"[495.5, 1439]","[495.5, 1377]","[454, 1408.0]","[537, 1408.0]","[-1, 0]","[50, 50]","[40, 40]","[48, 48]"
50,"[553, 1384]","[858, 1456]",50,"[705.5, 1456]","[705.5, 1384]","[553, 1420.0]","[858, 1420.0]","[-1, 0]","[-1, 0]","[41, 41]","[49, 49]"
51,"[1951, 1384]","[2021, 1439]",51,"[1986.0, 1439]","[1986.0, 1384]","[1951, 1411.5]","[2021, 1411.5]","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
52,"[363, 1531]","[466, 1596]",52,"[414.5, 1596]","[414.5, 1531]","[363, 1563.5]","[466, 1563.5]","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
53,"[570, 1538]","[998, 1610]",53,"[784.0, 1610]","[784.0, 1538]","[570, 1574.0]","[998, 1574.0]","[57, 57]","[54, 54]","[-1, 0]","[-1, 0]"
54,"[1022, 1538]","[1189, 1613]",54,"[1105.5, 1613]","[1105.5, 1538]","[1022, 1575.5]","[1189, 1575.5]","[58, 58]","[55, 55]","[-1, 0]","[53, 53]"
55,"[1211, 1535]","[1448, 1596]",55,"[1329.5, 1596]","[1329.5, 1535]","[1211, 1565.5]","[1448, 1565.5]","[59, 59]","[-1, 0]","[-1, 0]","[54, 54]"
56,"[566, 1644]","[648, 1699]",56,"[607.0, 1699]","[607.0, 1644]","[566, 1671.5]","[648, 1671.5]","[-1, 0]","[57, 57]","[-1, 0]","[-1, 0]"
57,"[670, 1651]","[998, 1712]",57,"[834.0, 1712]","[834.0, 1651]","[670, 1681.5]","[998, 1681.5]","[-1, 0]","[58, 58]","[53, 53]","[56, 56]"
58,"[1020, 1641]","[1182, 1729]",58,"[1101.0, 1729]","[1101.0, 1641]","[1020, 1685.0]","[1182, 1685.0]","[-1, 0]","[59, 59]","[54, 54]","[57, 57]"
59,"[1204, 1641]","[1494, 1716]",59,"[1349.0, 1716]","[1349.0, 1641]","[1204, 1678.5]","[1494, 1678.5]","[-1, 0]","[-1, 0]","[55, 55]","[58, 58]"
60,"[1948, 1644]","[2018, 1699]",60,"[1983.0, 1699]","[1983.0, 1644]","[1948, 1671.5]","[2018, 1671.5]","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
61,"[568, 1801]","[684, 1866]",61,"[626.0, 1866]","[626.0, 1801]","[568, 1833.5]","[684, 1833.5]","[67, 67]","[62, 62]","[-1, 0]","[-1, 0]"
62,"[711, 1798]","[1206, 1859]",62,"[958.5, 1859]","[958.5, 1798]","[711, 1828.5]","[1206, 1828.5]","[-1, 0]","[63, 63]","[-1, 0]","[61, 61]"
63,"[1223, 1794]","[1325, 1873]",63,"[1274.0, 1873]","[1274.0, 1794]","[1223, 1833.5]","[1325, 1833.5]","[-1, 0]","[64, 64]","[-1, 0]","[62, 62]"
64,"[1344, 1798]","[1576, 1863]",64,"[1460.0, 1863]","[1460.0, 1798]","[1344, 1830.5]","[1576, 1830.5]","[-1, 0]","[65, 65]","[-1, 0]","[63, 63]"
65,"[1602, 1798]","[1801, 1849]",65,"[1701.5, 1849]","[1701.5, 1798]","[1602, 1823.5]","[1801, 1823.5]","[-1, 0]","[66, 66]","[-1, 0]","[64, 64]"
66,"[1825, 1798]","[2047, 1863]",66,"[1936.0, 1863]","[1936.0, 1798]","[1825, 1830.5]","[2047, 1830.5]","[70, 70]","[-1, 0]","[-1, 0]","[65, 65]"
67,"[365, 1900]","[931, 1972]",67,"[648.0, 1972]","[648.0, 1900]","[365, 1936.0]","[931, 1936.0]","[-1, 0]","[68, 68]","[61, 61]","[-1, 0]"
68,"[972, 1900]","[1385, 1972]",68,"[1178.5, 1972]","[1178.5, 1900]","[972, 1936.0]","[1385, 1936.0]","[-1, 0]","[69, 69]","[-1, 0]","[67, 67]"
69,"[1426, 1900]","[1757, 1972]",69,"[1591.5, 1972]","[1591.5, 1900]","[1426, 1936.0]","[1757, 1936.0]","[-1, 0]","[70, 70]","[-1, 0]","[68, 68]"
70,"[1728, 1897]","[2050, 1972]",70,"[1889.0, 1972]","[1889.0, 1897]","[1728, 1934.5]","[2050, 1934.5]","[74, 74]","[-1, 0]","[66, 66]","[69, 69]"
71,"[365, 2003]","[529, 2068]",71,"[447.0, 2068]","[447.0, 2003]","[365, 2035.5]","[529, 2035.5]","[-1, 0]","[72, 72]","[-1, 0]","[-1, 0]"
72,"[551, 2003]","[1095, 2075]",72,"[823.0, 2075]","[823.0, 2003]","[551, 2039.0]","[1095, 2039.0]","[-1, 0]","[73, 73]","[-1, 0]","[71, 71]"
73,"[1117, 1996]","[1673, 2071]",73,"[1395.0, 2071]","[1395.0, 1996]","[1117, 2033.5]","[1673, 2033.5]","[-1, 0]","[74, 74]","[-1, 0]","[72, 72]"
74,"[1682, 1996]","[2047, 2068]",74,"[1864.5, 2068]","[1864.5, 1996]","[1682, 2032.0]","[2047, 2032.0]","[-1, 0]","[-1, 0]","[70, 70]","[73, 73]"
75,"[365, 2099]","[786, 2184]",75,"[575.5, 2184]","[575.5, 2099]","[365, 2141.5]","[786, 2141.5]","[-1, 0]","[76, 76]","[-1, 0]","[-1, 0]"
76,"[798, 2099]","[1515, 2181]",76,"[1156.5, 2181]","[1156.5, 2099]","[798, 2140.0]","[1515, 2140.0]","[80, 80]","[-1, 0]","[-1, 0]","[75, 75]"
77,"[566, 2266]","[636, 2314]",77,"[601.0, 2314]","[601.0, 2266]","[566, 2290.0]","[636, 2290.0]","[-1, 0]","[78, 78]","[-1, 0]","[-1, 0]"
78,"[674, 2252]","[889, 2304]",78,"[781.5, 2304]","[781.5, 2252]","[674, 2278.0]","[889, 2278.0]","[86, 86]","[79, 79]","[-1, 0]","[77, 77]"
79,"[926, 2249]","[1063, 2328]",79,"[994.5, 2328]","[994.5, 2249]","[926, 2288.5]","[1063, 2288.5]","[87, 87]","[80, 80]","[-1, 0]","[78, 78]"
80,"[1090, 2246]","[1252, 2307]",80,"[1171.0, 2307]","[1171.0, 2246]","[1090, 2276.5]","[1252, 2276.5]","[88, 88]","[81, 81]","[76, 76]","[79, 79]"
81,"[1288, 2249]","[1450, 2314]",81,"[1369.0, 2314]","[1369.0, 2249]","[1288, 2281.5]","[1450, 2281.5]","[89, 89]","[82, 82]","[-1, 0]","[80, 80]"
82,"[1491, 2252]","[1718, 2304]",82,"[1604.5, 2304]","[1604.5, 2252]","[1491, 2278.0]","[1718, 2278.0]","[-1, 0]","[83, 83]","[-1, 0]","[81, 81]"
83,"[1752, 2249]","[1842, 2331]",83,"[1797.0, 2331]","[1797.0, 2249]","[1752, 2290.0]","[1842, 2290.0]","[-1, 0]","[84, 84]","[-1, 0]","[82, 82]"
84,"[1878, 2256]","[2052, 2307]",84,"[1965.0, 2307]","[1965.0, 2256]","[1878, 2281.5]","[2052, 2281.5]","[90, 90]","[-1, 0]","[-1, 0]","[83, 83]"
85,"[363, 2358]","[602, 2410]",85,"[482.5, 2410]","[482.5, 2358]","[363, 2384.0]","[602, 2384.0]","[-1, 0]","[86, 86]","[-1, 0]","[-1, 0]"
86,"[624, 2358]","[931, 2406]",86,"[777.5, 2406]","[777.5, 2358]","[624, 2382.0]","[931, 2382.0]","[-1, 0]","[87, 87]","[78, 78]","[85, 85]"
87,"[950, 2355]","[1027, 2410]",87,"[988.5, 2410]","[988.5, 2355]","[950, 2382.5]","[1027, 2382.5]","[-1, 0]","[88, 88]","[79, 79]","[86, 86]"
88,"[1049, 2362]","[1230, 2403]",88,"[1139.5, 2403]","[1139.5, 2362]","[1049, 2382.5]","[1230, 2382.5]","[-1, 0]","[89, 89]","[80, 80]","[87, 87]"
89,"[1257, 2362]","[1559, 2423]",89,"[1408.0, 2423]","[1408.0, 2362]","[1257, 2392.5]","[1559, 2392.5]","[-1, 0]","[-1, 0]","[81, 81]","[88, 88]"
90,"[1955, 2365]","[2021, 2410]",90,"[1988.0, 2410]","[1988.0, 2365]","[1955, 2387.5]","[2021, 2387.5]","[-1, 0]","[-1, 0]","[84, 84]","[-1, 0]"
91,"[358, 2509]","[464, 2574]",91,"[411.0, 2574]","[411.0, 2509]","[358, 2541.5]","[464, 2541.5]","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
92,"[566, 2519]","[691, 2570]",92,"[628.5, 2570]","[628.5, 2519]","[566, 2544.5]","[691, 2544.5]","[98, 98]","[93, 93]","[-1, 0]","[-1, 0]"
93,"[706, 2512]","[769, 2574]",93,"[737.5, 2574]","[737.5, 2512]","[706, 2543.0]","[769, 2543.0]","[-1, 0]","[94, 94]","[-1, 0]","[92, 92]"
94,"[783, 2516]","[1090, 2591]",94,"[936.5, 2591]","[936.5, 2516]","[783, 2553.5]","[1090, 2553.5]","[100, 100]","[95, 95]","[-1, 0]","[93, 93]"
95,"[1107, 2512]","[1192, 2584]",95,"[1149.5, 2584]","[1149.5, 2512]","[1107, 2548.0]","[1192, 2548.0]","[101, 101]","[96, 96]","[-1, 0]","[94, 94]"
96,"[1208, 2505]","[1414, 2594]",96,"[1311.0, 2594]","[1311.0, 2505]","[1208, 2549.5]","[1414, 2549.5]","[102, 102]","[97, 97]","[-1, 0]","[95, 95]"
97,"[1431, 2509]","[1542, 2574]",97,"[1486.5, 2574]","[1486.5, 2509]","[1431, 2541.5]","[1542, 2541.5]","[103, 103]","[-1, 0]","[-1, 0]","[96, 96]"
98,"[568, 2622]","[715, 2683]",98,"[641.5, 2683]","[641.5, 2622]","[568, 2652.5]","[715, 2652.5]","[-1, 0]","[99, 99]","[92, 92]","[-1, 0]"
99,"[735, 2628]","[875, 2704]",99,"[805.0, 2704]","[805.0, 2628]","[735, 2666.0]","[875, 2666.0]","[-1, 0]","[100, 100]","[-1, 0]","[98, 98]"
100,"[897, 2625]","[1071, 2700]",100,"[984.0, 2700]","[984.0, 2625]","[897, 2662.5]","[1071, 2662.5]","[-1, 0]","[101, 101]","[94, 94]","[99, 99]"
101,"[1097, 2628]","[1274, 2693]",101,"[1185.5, 2693]","[1185.5, 2628]","[1097, 2660.5]","[1274, 2660.5]","[-1, 0]","[102, 102]","[95, 95]","[100, 100]"
102,"[1298, 2625]","[1339, 2676]",102,"[1318.5, 2676]","[1318.5, 2625]","[1298, 2650.5]","[1339, 2650.5]","[-1, 0]","[103, 103]","[96, 96]","[101, 101]"
103,"[1358, 2615]","[1528, 2690]",103,"[1443.0, 2690]","[1443.0, 2615]","[1358, 2652.5]","[1528, 2652.5]","[-1, 0]","[-1, 0]","[97, 97]","[102, 102]"
104,"[1955, 2628]","[2025, 2683]",104,"[1990.0, 2683]","[1990.0, 2628]","[1955, 2655.5]","[2025, 2655.5]","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
105,"[566, 2789]","[696, 2854]",105,"[631.0, 2854]","[631.0, 2789]","[566, 2821.5]","[696, 2821.5]","[-1, 0]","[106, 106]","[-1, 0]","[-1, 0]"
106,"[737, 2782]","[1143, 2854]",106,"[940.0, 2854]","[940.0, 2782]","[737, 2818.0]","[1143, 2818.0]","[-1, 0]","[107, 107]","[-1, 0]","[105, 105]"
107,"[1187, 2786]","[1433, 2837]",107,"[1310.0, 2837]","[1310.0, 2786]","[1187, 2811.5]","[1433, 2811.5]","[-1, 0]","[108, 108]","[-1, 0]","[106, 106]"
108,"[1412, 2782]","[1607, 2844]",108,"[1509.5, 2844]","[1509.5, 2782]","[1412, 2813.0]","[1607, 2813.0]","[-1, 0]","[109, 109]","[-1, 0]","[107, 107]"
109,"[1653, 2779]","[1786, 2844]",109,"[1719.5, 2844]","[1719.5, 2779]","[1653, 2811.5]","[1786, 2811.5]","[-1, 0]","[110, 110]","[-1, 0]","[108, 108]"
110,"[1830, 2786]","[2054, 2837]",110,"[1942.0, 2837]","[1942.0, 2786]","[1830, 2811.5]","[2054, 2811.5]","[115, 115]","[-1, 0]","[-1, 0]","[109, 109]"
111,"[358, 2888]","[621, 2960]",111,"[489.5, 2960]","[489.5, 2888]","[358, 2924.0]","[621, 2924.0]","[-1, 0]","[112, 112]","[-1, 0]","[-1, 0]"
112,"[653, 2892]","[1073, 2967]",112,"[863.0, 2967]","[863.0, 2892]","[653, 2929.5]","[1073, 2929.5]","[-1, 0]","[113, 113]","[-1, 0]","[111, 111]"
113,"[1105, 2878]","[1329, 2953]",113,"[1217.0, 2953]","[1217.0, 2878]","[1105, 2915.5]","[1329, 2915.5]","[120, 120]","[114, 114]","[-1, 0]","[112, 112]"
114,"[1356, 2875]","[1832, 2960]",114,"[1594.0, 2960]","[1594.0, 2875]","[1356, 2917.5]","[1832, 2917.5]","[-1, 0]","[115, 115]","[-1, 0]","[113, 113]"
115,"[1861, 2888]","[2054, 2963]",115,"[1957.5, 2963]","[1957.5, 2888]","[1861, 2925.5]","[2054, 2925.5]","[123, 123]","[-1, 0]","[110, 110]","[114, 114]"
116,"[358, 2998]","[471, 3052]",116,"[414.5, 3052]","[414.5, 2998]","[358, 3025.0]","[471, 3025.0]","[-1, 0]","[117, 117]","[-1, 0]","[-1, 0]"
117,"[495, 3004]","[701, 3069]",117,"[598.0, 3069]","[598.0, 3004]","[495, 3036.5]","[701, 3036.5]","[124, 124]","[118, 118]","[-1, 0]","[116, 116]"
118,"[720, 3008]","[769, 3052]",118,"[744.5, 3052]","[744.5, 3008]","[720, 3030.0]","[769, 3030.0]","[-1, 0]","[119, 119]","[-1, 0]","[117, 117]"
119,"[786, 2987]","[1117, 3049]",119,"[951.5, 3049]","[951.5, 2987]","[786, 3018.0]","[1117, 3018.0]","[125, 125]","[120, 120]","[-1, 0]","[118, 118]"
120,"[1138, 2991]","[1276, 3056]",120,"[1207.0, 3056]","[1207.0, 2991]","[1138, 3023.5]","[1276, 3023.5]","[126, 126]","[121, 121]","[113, 113]","[119, 119]"
121,"[1293, 2984]","[1511, 3069]",121,"[1402.0, 3069]","[1402.0, 2984]","[1293, 3026.5]","[1511, 3026.5]","[127, 127]","[122, 122]","[-1, 0]","[120, 120]"
122,"[1530, 2991]","[1815, 3052]",122,"[1672.5, 3052]","[1672.5, 2991]","[1530, 3021.5]","[1815, 3021.5]","[-1, 0]","[123, 123]","[-1, 0]","[121, 121]"
123,"[1839, 2991]","[2054, 3066]",123,"[1946.5, 3066]","[1946.5, 2991]","[1839, 3028.5]","[2054, 3028.5]","[-1, 0]","[-1, 0]","[115, 115]","[122, 122]"
124,"[355, 3104]","[706, 3179]",124,"[530.5, 3179]","[530.5, 3104]","[355, 3141.5]","[706, 3141.5]","[-1, 0]","[125, 125]","[117, 117]","[-1, 0]"
125,"[728, 3090]","[1201, 3162]",125,"[964.5, 3162]","[964.5, 3090]","[728, 3126.0]","[1201, 3126.0]","[-1, 0]","[126, 126]","[119, 119]","[124, 124]"
126,"[1221, 3093]","[1259, 3148]",126,"[1240.0, 3148]","[1240.0, 3093]","[1221, 3120.5]","[1259, 3120.5]","[-1, 0]","[127, 127]","[120, 120]","[125, 125]"
127,"[1279, 3090]","[1465, 3155]",127,"[1372.0, 3155]","[1372.0, 3090]","[1279, 3122.5]","[1465, 3122.5]","[-1, 0]","[128, 128]","[121, 121]","[126, 126]"
128,"[1489, 3097]","[1723, 3158]",128,"[1606.0, 3158]","[1606.0, 3097]","[1489, 3127.5]","[1723, 3127.5]","[-1, 0]","[-1, 0]","[-1, 0]","[127, 127]"
